Origin,Country,Continent,January,February,March,April,May,June,July,August,September,October,November,December,YearAmt,year
Connecticut,USA,North America,1333,2174,3191,2743,1688,1965,2375,1930,864,1053,1328,2049,22693,2001
Delaware,USA,North America,384,420,698,618,479,589,479,355,181,313,314,336,5166,2001
Maine,USA,North America,229,331,477,436,243,125,121,109,104,112,142,170,2599,2001
Maryland,USA,North America,2376,2226,3440,3393,2981,3719,3756,3796,1643,1824,2458,2719,34331,2001
Massachusetts,USA,North America,2729,3661,5280,3747,2618,2140,2288,2407,969,1225,1751,2482,31297,2001
New Hamshire,USA,North America,476,686,815,832,314,268,231,176,120,187,292,192,4589,2001
New Jersey,USA,North America,3831,4746,6265,6028,5112,5351,5564,5143,2192,2567,4197,3787,54783,2001
New York,USA,North America,10197,14641,16270,17941,13115,13146,17189,16847,7131,7959,9958,15049,159443,2001
Pennsylvania,USA,North America,4199,4303,6320,4542,4566,5301,5135,4211,2025,2546,3440,3094,49682,2001
Rhode Island,USA,North America,233,356,626,288,263,213,229,162,97,131,170,228,2996,2001
Vermont,USA,North America,139,283,284,357,130,85,76,41,39,59,94,102,1689,2001
Virginia,USA,North America,1484,1412,2502,2227,1776,2056,1853,1609,771,1163,1199,1407,19459,2001
Washington D.C,USA,North America,347,350,610,530,477,517,462,644,225,322,352,535,5371,2001
West Virginia,USA,North America,116,162,313,150,177,296,183,148,79,66,79,136,1905,2001
Illinois,USA,North America,4974,5017,6476,5009,4377,4536,4370,4218,2014,2418,3506,4718,51633,2001
Indiana,USA,North America,1170,967,1912,1074,1127,1203,1125,729,565,682,615,799,11968,2001
Iowa,USA,North America,1148,924,1172,409,484,346,407,315,238,262,406,544,6655,2001
Kansas,USA,North America,436,369,921,296,426,520,544,324,179,178,259,240,4692,2001
Kentucky,USA,North America,321,520,753,514,370,523,581,360,288,371,210,245,5056,2001
Michigan,USA,North America,2464,4644,4690,4177,1703,1591,1942,1405,776,1018,1508,2029,27947,2001
Minnesota,USA,North America,3127,3552,4066,1889,519,610,593,493,356,358,734,1289,17586,2001
Missouri,USA,North America,1613,1470,1980,1588,1715,1846,1937,1417,630,756,844,988,16784,2001
Nebraska,USA,North America,711,405,513,394,322,348,315,245,175,144,243,209,4024,2001
North Dakota,USA,North America,189,170,187,65,59,36,57,47,22,40,74,68,1014,2001
Ohio,USA,North America,1785,1771,2904,1953,1395,1791,1876,1503,784,900,1010,1315,18987,2001
South Dakota,USA,North America,197,198,235,76,51,47,70,54,36,43,32,96,1135,2001
Wisconsin,USA,North America,4618,4102,4640,3222,1204,1244,919,866,662,929,1156,1580,25142,2001
Alabama,USA,North America,314,559,890,425,738,945,828,596,312,383,259,355,6604,2001
Arkansas,USA,North America,147,136,269,130,268,471,491,281,106,88,123,138,2648,2001
Florida,USA,North America,6415,7346,10367,10873,11379,14222,13049,11620,6931,7742,8304,11668,119916,2001
Georgia,USA,North America,2123,2403,3899,3768,4128,5635,4946,3701,2328,2475,2421,2980,40807,2001
Louisiana,USA,North America,295,276,419,525,674,1339,1358,1090,311,327,400,280,7294,2001
Mississippi,USA,North America,104,138,275,191,423,530,431,335,122,103,101,109,2862,2001
North Carolina,USA,North America,1011,1282,1785,1533,1779,2521,1961,1087,910,996,1036,1087,16988,2001
Oklahoma,USA,North America,190,193,397,173,488,717,647,380,230,251,287,181,4134,2001
Puerto Rico,Puerto Rico,Caribbean,135,97,151,135,127,157,107,122,75,134,134,70,1444,2001
South Carolina,USA,North America,477,515,749,846,811,1069,867,528,417,523,470,447,7719,2001
Tennessee,USA,North America,536,725,1326,913,1044,1399,1402,918,572,476,480,638,10429,2001
Texas,USA,North America,1169,1356,2475,1646,3358,6685,7562,5004,2087,1997,2665,2000,38004,2001
Alaska,USA,North America,32,19,54,28,38,25,18,43,15,29,28,26,355,2001
Arizona,USA,North America,464,380,929,503,792,994,1019,556,433,366,368,411,7215,2001
California,USA,North America,2580,2060,3323,4047,3807,4956,5391,5505,2114,2493,2419,3121,41816,2001
Colorado,USA,North America,566,531,1123,617,610,717,614,460,264,346,482,530,6860,2001
Hawaii,USA,North America,17,6,24,22,27,38,43,12,8,11,21,25,254,2001
Idaho,USA,North America,201,131,138,92,87,93,78,53,33,47,42,39,1034,2001
Montana,USA,North America,85,53,113,65,53,32,48,35,15,55,44,49,647,2001
Nevada,USA,North America,140,79,185,196,183,222,273,203,77,99,174,127,1958,2001
New Mexico,USA,North America,130,76,127,139,93,133,100,77,34,35,90,59,1093,2001
Oregon,USA,North America,184,144,273,183,319,218,212,168,99,116,176,193,2285,2001
Utah,USA,North America,97,91,86,82,112,117,91,89,99,70,63,89,1086,2001
Washington,USA,North America,303,403,512,479,359,362,371,346,235,193,383,309,4255,2001
Wyoming,USA,North America,27,29,57,47,44,24,20,30,8,14,26,22,348,2001
Alberta,CANADA,North America,604,636,508,429,296,242,309,233,159,237,403,422,4478,2001
British Colombia,CANADA,North America,395,434,367,274,207,177,253,231,167,204,271,338,3318,2001
Manitoba,CANADA,North America,576,595,520,163,94,78,79,59,57,77,126,197,2621,2001
New Brunswick,CANADA,North America,129,239,286,207,91,39,35,33,17,47,97,64,1284,2001
Newfoundland,CANADA,North America,31,55,45,122,59,35,60,22,29,33,56,24,571,2001
Nova Scotia,CANADA,North America,123,397,561,425,106,68,66,49,67,77,140,86,2165,2001
Ontario,CANADA,North America,9614,9251,9788,7421,5243,5185,7161,6555,3544,3575,5255,9364,81956,2001
P.E. Island,CANADA,North America,17,15,50,11,8,1,2,4,3,6,16,3,136,2001
Quebec,CANADA,North America,2152,1858,2273,1303,558,485,798,655,297,358,885,1333,12955,2001
Saskatchewan,CANADA,North America,258,306,132,79,50,32,64,62,19,49,70,88,1209,2001
Other Canada,CANADA,North America,55,54,55,41,14,21,50,43,16,27,35,54,465,2001
U.K.,U.K.,Europe,9156,9712,10066,10554,9792,10395,13594,10798,9911,10063,9272,14007,127320,2001
Denmark,Denmark,Europe,61,105,64,87,52,47,78,55,30,35,41,30,685,2001
Finland,Finland,Europe,48,40,32,42,22,19,54,14,13,14,8,21,327,2001
Norway,Norway,Europe,120,66,58,97,38,70,75,33,44,52,60,66,779,2001
Sweden,Sweden,Europe,136,252,131,103,59,70,102,41,68,104,131,129,1326,2001
Greece,Greece,Europe,22,23,26,14,8,12,10,13,21,10,9,8,176,2001
Italy,Italy,Europe,1476,1545,1472,951,624,570,952,2431,658,372,590,867,12508,2001
Portugal,Portugal,Europe,13,20,31,41,7,33,23,110,41,41,14,15,389,2001
Spain,Spain,Europe,153,130,131,190,113,610,790,571,524,871,105,114,4302,2001
Austria,Austria,Europe,294,261,253,191,128,88,199,137,138,170,159,134,2152,2001
Belgium,Belgium,Europe,76,80,136,125,63,82,91,84,86,56,90,125,1094,2001
France,France,Europe,194,327,284,345,155,153,196,208,109,121,150,188,2430,2001
Germany,Germany,Europe,1818,2137,2293,2010,1661,1075,1223,1389,1376,1379,1680,1173,19214,2001
Luxemburg,Luxemburg,Europe,9,8,7,12,8,2,5,12,4,4,12,13,96,2001
Netherlands,Netherlands,Europe,208,217,198,236,218,265,390,219,266,319,206,192,2934,2001
Switzerland,Switzerland,Europe,300,230,168,318,154,115,264,99,163,143,186,232,2372,2001
Czechoslovakia,Czechoslovakia,Europe,52,34,33,22,16,22,24,9,27,21,32,5,297,2001
Hungary,Hungary,Europe,23,29,15,14,7,2,10,9,6,5,20,10,150,2001
Poland,Poland,Europe,65,26,60,32,11,15,28,14,25,18,38,10,342,2001
Russia,Russia,Europe,162,67,91,90,72,55,55,43,28,61,87,93,904,2001
Other Europe,Other Europe,Europe,102,111,88,61,38,74,62,81,43,50,43,82,835,2001
Mexico,Mexico,Central America,163,182,214,298,220,184,319,280,169,187,152,156,2524,2001
Belize,Belize,Central America,39,28,43,35,36,37,66,55,43,29,29,26,466,2001
Costa Rica,Costa Rica,Central America,42,81,43,50,50,53,59,30,61,50,874,56,1449,2001
El Salvador,El Salvador,Central America,8,15,8,13,9,60,16,27,6,22,11,13,208,2001
Guatemala,Guatemala,Central America,25,30,21,27,32,28,31,35,35,42,25,31,362,2001
Honduras,Honduras,Central America,8,12,10,56,6,2,11,8,10,9,13,8,153,2001
Nicaragua,Nicaragua,Central America,5,4,4,2,3,5,2,3,12,3,5,6,54,2001
Panama,Panama,Central America,93,132,121,110,110,138,116,111,47,90,98,94,1260,2001
Argentina,Argentina,Latin America,177,141,144,161,84,79,116,102,50,63,95,43,1255,2001
Bolivia,Bolivia,Latin America,17,3,1,4,4,3,9,8,6,5,2,3,65,2001
Brazil,Brazil,Latin America,102,80,54,136,64,63,83,70,51,42,75,63,883,2001
Chile,Chile,Latin America,77,85,52,52,45,59,81,42,60,77,28,29,687,2001
Colombia,Colombia,Latin America,142,83,168,153,267,187,132,99,121,98,92,101,1643,2001
Ecuador,Ecuador,Latin America,12,16,31,24,40,24,28,61,18,38,14,42,348,2001
Guyana,Guyana,Caribbean,128,114,115,155,130,141,150,155,96,105,106,109,1504,2001
Peru,Peru,Latin America,19,19,31,32,40,44,53,38,25,23,33,39,396,2001
Surinam,Surinam,Caribbean,34,27,44,9,25,12,21,21,8,32,20,9,262,2001
Uruguay,Uruguay,Latin America,3,2,24,10,9,13,37,13,6,1,6,1,125,2001
Venezuela,Venezuela,Latin America,84,98,215,177,68,86,80,81,59,52,72,67,1139,2001
Other South America,Other South America,Latin America,0,0,0,2,0,2,0,0,1,0,1,0,6,2001
Antigua,Antigua,Caribbean,83,90,81,181,91,139,199,137,98,84,85,179,1447,2001
Bahamas,Bahamas,Caribbean,388,382,493,689,507,611,835,813,427,307,246,386,6084,2001
Barbados,Barbados,Caribbean,279,304,323,378,317,386,503,508,271,331,383,366,4349,2001
Bermuda,Bermuda,Caribbean,106,102,137,177,99,75,295,197,69,57,80,430,1824,2001
British Virgin Is.,British Virgin Is.,Caribbean,35,28,27,39,31,42,67,82,59,27,13,78,528,2001
Cayman Is.,Cayman Is.,Caribbean,687,863,869,1472,866,1115,969,1058,732,708,821,1273,11433,2001
Dominica,Dominica,Caribbean,28,39,32,35,24,29,61,44,36,30,17,19,394,2001
Grenada,Grenada,Caribbean,45,25,36,68,44,34,80,49,39,24,51,62,557,2001
Monsterrat,Monsterrat,Caribbean,11,6,5,10,11,6,21,11,6,7,6,0,100,2001
St. Kitts/ Nevis,St. Kitts/ Nevis,Caribbean,32,43,41,75,44,63,101,58,72,60,31,53,673,2001
St. Lucia,St. Lucia,Caribbean,82,83,73,192,80,131,145,200,188,106,91,130,1501,2001
St. Vincent,St. Vincent,Caribbean,26,44,29,52,35,45,78,81,51,32,34,50,557,2001
Turks & Caicos Is.,Turks & Caicos Is.,Caribbean,42,66,26,166,59,53,146,105,78,49,58,119,967,2001
Trinidad & Tobag0,Trinidad & Tobag0,Caribbean,420,589,520,699,563,500,567,559,481,459,497,432,6286,2001
Aruba,Aruba,Caribbean,18,17,16,18,17,20,67,25,7,37,17,50,309,2001
Cuba,Cuba,Caribbean,56,47,68,62,51,41,64,93,55,46,39,34,656,2001
Curacao,Curacao,Caribbean,30,35,32,37,32,46,232,42,47,44,53,69,699,2001
Dominican Republic,Dominican Republic,Caribbean,79,48,54,72,82,128,77,120,70,49,69,50,898,2001
Guadelope,Guadelope,Caribbean,1,7,7,9,4,3,13,1,3,7,11,2,68,2001
Haiti,Haiti,Caribbean,34,30,33,37,68,35,79,58,31,41,24,64,534,2001
St. Maarten,St. Maarten,Caribbean,27,16,56,42,41,45,81,46,43,40,28,43,508,2001
African countries,African countries,Africa,95,61,95,212,115,100,141,108,54,90,84,116,1271,2001
Isreal,Isreal,Rest of World,102,81,96,66,55,94,117,125,129,98,52,49,1064,2001
Saudi Arabia,Saudi Arabia,Rest of World,9,1,2,1,1,4,7,5,4,3,0,5,42,2001
Turkey,Turkey,Rest of World,24,15,36,21,2,8,43,16,5,3,8,14,195,2001
Other Middle East,Other Middle East,Rest of World,34,19,34,38,18,20,26,23,29,22,17,12,292,2001
India & Pakistan,India & Pakistan,Rest of World,52,46,90,72,99,79,56,54,58,20,38,67,731,2001
Japan,Japan,Rest of World,495,643,541,624,475,539,538,428,304,192,281,386,5446,2001
China,China,Rest of World,33,32,53,69,26,48,41,42,25,19,21,35,444,2001
Taiwan,Taiwan,Rest of World,12,4,5,8,3,6,11,3,12,4,3,2,73,2001
Korea,Korea,Rest of World,28,18,32,31,10,23,26,17,10,12,12,8,227,2001
Philippines,Philippines,Rest of World,42,40,60,55,30,44,26,31,22,54,41,41,486,2001
Singapore,Singapore,Rest of World,16,14,8,16,8,8,25,7,11,3,9,10,135,2001
Other Asia,Other Asia,Rest of World,27,35,38,46,19,32,27,26,17,15,14,21,317,2001
Australia,Australia,Rest of World,158,117,94,141,122,107,111,79,94,92,85,123,1323,2001
New Zealand,New Zealand,Rest of World,20,19,24,37,15,20,42,20,8,32,21,16,274,2001
All Other Countries,All Other Countries,Rest of World,4,4,9,6,4,6,11,0,1,12,2,6,65,2001
Connecticut,USA,North America,1255,1891,2376,2577,1475,1802,2385,1993,944,1383,1574,2347,22002,2002
Delaware,USA,North America,311,285,555,386,415,500,490,439,329,348,447,417,4922,2002
Maine,USA,North America,204,240,357,415,179,109,87,101,131,134,159,175,2291,2002
Maryland,USA,North America,2377,2088,3271,2576,2844,3538,4262,4162,2112,2272,3070,3434,36006,2002
Massachusetts,USA,North America,2551,3030,3596,3019,2216,1774,2087,2248,1076,1552,2169,2722,28040,2002
New Hamshire,USA,North America,382,571,517,621,284,173,156,185,191,198,294,231,3803,2002
New Jersey,USA,North America,3713,4105,5918,4621,4444,4378,5895,6029,2576,3204,5396,5223,55502,2002
New York,USA,North America,9384,11900,16637,11992,11832,12309,19140,19412,8071,8712,11532,17953,158874,2002
Pennsylvania,USA,North America,3505,4184,5852,3855,4373,5193,4820,4747,2938,3686,4330,4487,51970,2002
Rhode Island,USA,North America,260,301,363,370,205,228,244,232,164,244,278,243,3132,2002
Vermont,USA,North America,95,185,237,197,68,72,41,42,34,90,93,111,1265,2002
Virginia,USA,North America,1298,1365,2354,1615,1694,1981,2105,1827,1057,1212,1646,1569,19723,2002
Washington D.C,USA,North America,308,338,492,364,472,449,519,638,288,307,404,560,5139,2002
West Virginia,USA,North America,79,140,239,105,140,152,233,115,78,70,110,139,1600,2002
Illinois,USA,North America,4745,4536,5758,4399,3731,4447,4404,3985,2850,2756,3516,4535,49662,2002
Indiana,USA,North America,1003,1267,1733,1000,926,1035,1093,836,589,801,925,845,12053,2002
Iowa,USA,North America,1184,1038,985,408,361,425,461,318,325,364,476,476,6821,2002
Kansas,USA,North America,280,271,516,233,427,524,537,381,345,313,319,360,4506,2002
Kentucky,USA,North America,300,550,732,362,536,678,898,387,372,415,359,328,5917,2002
Michigan,USA,North America,2117,3498,4312,2272,1365,1475,1582,1394,1048,1456,1440,1983,23942,2002
Minnesota,USA,North America,2835,3213,3764,1155,557,672,706,689,538,669,907,1518,17223,2002
Missouri,USA,North America,1394,1410,1911,1188,1441,2379,2239,1858,1220,1388,1080,1377,18885,2002
Nebraska,USA,North America,376,311,365,310,429,353,334,264,319,331,378,268,4038,2002
North Dakota,USA,North America,154,157,201,47,50,102,68,32,39,43,66,81,1040,2002
Ohio,USA,North America,1330,1947,2873,1995,1436,1756,1930,1493,1099,1221,1400,1810,20290,2002
South Dakota,USA,North America,189,181,129,77,65,88,85,60,34,65,105,82,1160,2002
Wisconsis,USA,North America,4005,3736,4474,2059,1166,1131,792,796,788,1323,1201,1387,22858,2002
Alabama,USA,North America,280,438,697,400,767,1043,851,621,479,454,456,434,6920,2002
Arkansas,USA,North America,157,127,270,168,259,361,421,307,202,137,175,188,2772,2002
Florida,USA,North America,6709,6698,10154,9565,10914,13125,14884,12041,8326,8320,9698,13049,123483,2002
Georgia,USA,North America,1896,2368,3488,4185,4648,6153,6232,4115,3050,3065,3202,3533,45935,2002
Louisiana,USA,North America,279,395,308,432,802,1280,1307,849,404,533,551,406,7546,2002
Mississippi,USA,North America,113,148,306,220,379,553,429,274,145,198,217,154,3136,2002
North Carolina,USA,North America,1063,1053,1858,1288,1455,2247,2006,1144,1106,1084,1225,1239,16768,2002
Oklahoma,USA,North America,190,170,301,195,405,783,780,453,229,230,279,307,4322,2002
Puerto Rico,Puerto Rico,Caribbean,119,148,147,147,167,137,153,111,99,79,136,90,1533,2002
South Carolina,USA,North America,394,448,614,663,911,979,908,669,520,595,557,530,7788,2002
Tennessee,USA,North America,599,830,1306,870,1171,1644,1728,1033,776,764,771,849,12341,2002
Texas,USA,North America,1521,1695,3003,2133,3997,6777,7204,4835,2181,2216,2609,2550,40721,2002
Alaska,USA,North America,30,27,31,21,16,7,20,15,23,39,29,43,301,2002
Arizona,USA,North America,311,320,412,397,413,599,487,330,300,434,340,359,4702,2002
California,USA,North America,2065,2118,3290,3187,3403,4791,5988,6179,2982,3088,3356,3700,44147,2002
Colorado,USA,North America,467,708,921,548,650,766,607,527,335,482,583,673,7267,2002
Hawaii,USA,North America,11,10,13,17,17,21,27,36,15,7,8,19,201,2002
Idaho,USA,North America,89,101,102,83,90,88,97,56,64,50,112,87,1019,2002
Montana,USA,North America,77,60,118,62,27,51,46,24,27,51,34,60,637,2002
Nevada,USA,North America,124,98,198,143,169,212,209,190,165,180,180,150,2018,2002
New Mexico,USA,North America,46,59,109,101,104,100,110,66,53,71,118,146,1083,2002
Oregon,USA,North America,145,176,282,140,268,169,212,245,174,183,191,176,2361,2002
Utah,USA,North America,126,94,93,116,115,121,220,107,125,71,159,106,1453,2002
Washington,USA,North America,280,344,364,405,344,355,360,350,281,247,392,404,4126,2002
Wyoming,USA,North America,32,15,37,57,33,40,25,41,9,15,42,39,385,2002
Alberta,CANADA,North America,468,455,351,446,244,148,211,245,195,171,396,411,3741,2002
British Columbia,CANADA,North America,354,269,250,255,199,143,158,157,142,165,290,284,2666,2002
Manitoba,CANADA,North America,291,321,156,132,85,70,101,57,66,52,104,392,1827,2002
New Brunswick,CANADA,North America,119,107,198,182,47,13,20,16,46,41,78,47,914,2002
Newfoundland,CANADA,North America,53,72,64,58,60,44,37,45,24,41,75,30,603,2002
Nova Scotia,CANADA,North America,152,199,160,177,96,37,44,42,47,44,104,82,1184,2002
Ontario,CANADA,North America,7866,7921,8407,6326,4569,4350,7213,5867,3552,3533,5754,9373,74731,2002
P.E. Island,CANADA,North America,17,13,40,16,8,3,1,2,2,6,8,8,124,2002
Quebec,CANADA,North America,1671,1453,1854,815,517,442,614,429,300,336,702,1421,10554,2002
Saskatchewan,CANADA,North America,151,155,64,74,17,19,22,17,31,26,31,146,753,2002
Other Canada,CANADA,North America,39,43,29,20,29,11,31,14,17,7,35,41,316,2002
