Origin,Country,Continent,January,February,March,April,May,June,July,August,September,October,November,December,YearAmt,year
Bahamas,Bahamas,Caribbean,378,326,368,805,418,539,781,601,347,337,351,748,5999,2011
Barbados,Barbados,Caribbean,347,300,353,448,443,516,676,531,310,424,458,616,5422,2011
Bermuda,Bermuda,Caribbean,259,142,189,300,118,172,400,277,169,123,97,464,2710,2011
British Virgin Is,British Virgin Is,Caribbean,45,50,45,92,44,83,163,151,68,64,57,169,1031,2011
Cayman Is.,Cayman Is.,Caribbean,1292,1176,1253,1914,1423,1633,2051,1634,1233,1306,1173,1947,18035,2011
Dominica,Dominica,Caribbean,28,18,31,34,38,31,68,58,25,13,49,25,418,2011
Grenada,Grenada,Caribbean,48,40,42,54,62,44,54,40,34,26,42,41,527,2011
Guyana,Guyana,Caribbean,178,124,158,157,203,201,422,257,157,155,200,164,2376,2011
Montserrat,Montserrat,Caribbean,8,6,9,18,19,10,18,14,7,12,13,9,143,2011
St. Kitts/Nevis,St. Kitts/Nevis,Caribbean,69,44,65,110,60,57,109,120,53,67,66,93,913,2011
St. Lucia,St. Lucia,Caribbean,90,55,80,76,99,91,109,84,116,99,70,86,1055,2011
St. Vincent,St. Vincent,Caribbean,39,36,94,35,49,43,80,105,52,48,54,41,676,2011
Turks & Caicos Is.,Turks & Caicos Is.,Caribbean,89,78,61,165,85,96,228,211,150,102,88,169,1522,2011
Trinidad & Tobago,Trinidad & Tobago,Caribbean,966,995,1266,1500,1289,1493,1569,1657,994,1060,1230,1494,15513,2011
Aruba,Aruba,Caribbean,35,31,26,28,24,34,75,36,40,26,23,31,409,2011
Cuba,Cuba,Caribbean,75,72,37,42,67,30,75,64,39,27,69,49,646,2011
Curacao,Curacao,Caribbean,73,42,45,108,62,58,165,49,53,102,67,69,893,2011
Dominican Republic,Dominican Republic,Caribbean,115,105,124,74,119,139,108,101,97,109,126,76,1293,2011
Guadelope,Guadelope,Caribbean,10,5,7,34,10,3,220,10,5,9,4,5,322,2011
Haiti,Haiti,Caribbean,38,24,25,40,25,39,30,40,26,27,61,17,392,2011
Puerto Rico,Puerto Rico,Caribbean,151,110,119,110,156,124,117,138,143,116,117,85,1486,2011
St. Maarten,St. Maarten,Caribbean,56,51,60,96,33,69,220,114,89,76,75,140,1079,2011
